Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,18.801,18.389,18.220,18.100,18.077,18.148,18.415,18.810,19.311,19.880,20.542,21.336,22.220,23.302,24.288,25.210,26.148,27.042,28.188,29.217,29.969,30.643,31.203,31.713,32.079,32.406,32.697,32.960,33.170,33.338,33.489,33.621,33.738,33.848,NPgN
AMBERTON ROAD,22.159,22.298,22.015,21.778,21.624,21.534,21.505,21.521,21.582,21.680,21.817,22.002,22.227,22.486,22.717,22.938,23.167,23.389,23.676,23.941,24.142,24.329,24.492,24.649,24.775,24.896,25.010,25.120,25.210,25.289,25.365,25.438,25.508,25.576,NPgN
ANNFIELD 66/20KV,23.433,24.673,24.408,24.206,24.112,24.123,24.308,24.594,24.958,25.376,25.874,26.480,27.162,28.012,28.778,29.496,30.229,30.929,31.842,32.659,33.250,33.783,34.225,34.624,34.911,35.160,35.370,35.557,35.670,35.747,35.809,35.857,35.892,35.922,NPgN
ASHINGTON,21.143,20.764,20.582,20.462,20.439,20.518,20.765,21.116,21.553,22.043,22.613,23.292,24.045,24.944,25.759,26.523,27.301,28.045,28.991,29.841,30.472,31.045,31.533,31.981,32.317,32.617,32.882,33.125,33.297,33.433,33.555,33.662,33.758,33.849,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,13.499,13.658,13.430,13.235,13.089,12.990,12.927,12.890,12.886,12.909,12.958,13.037,13.140,13.234,13.320,13.407,13.500,13.593,13.708,13.819,13.914,14.006,14.092,14.178,14.257,14.334,14.410,14.486,14.555,14.621,14.686,14.751,14.815,14.879,NPgN
BARDEN FRIAR,0.588,0.574,0.563,0.554,0.547,0.543,0.539,0.537,0.539,0.542,0.545,0.548,0.552,0.554,0.557,0.559,0.562,0.564,0.568,0.571,0.573,0.574,0.575,0.575,0.573,0.570,0.566,0.563,0.559,0.554,0.548,0.543,0.538,0.533,NPgN
BEDALE,17.461,17.118,16.829,16.569,16.376,16.221,16.096,15.983,15.865,15.766,15.691,15.643,15.616,15.626,15.626,15.624,15.630,15.637,15.677,15.708,15.717,15.731,15.736,15.740,15.751,15.771,15.789,15.806,15.803,15.794,15.784,15.773,15.762,15.751,NPgN
BELMONT,22.558,22.670,22.358,22.104,21.940,21.869,21.935,22.079,22.276,22.518,22.827,23.221,23.677,24.265,24.794,25.289,25.799,26.287,26.939,27.520,27.930,28.297,28.596,28.864,29.044,29.199,29.332,29.448,29.508,29.542,29.566,29.579,29.583,29.583,NPgN
BENSHAM,19.575,19.280,19.066,18.895,18.798,18.780,18.894,19.075,19.273,19.513,19.818,20.213,20.672,21.309,21.885,22.422,22.974,23.502,24.214,24.846,25.284,25.667,25.972,26.243,26.413,26.571,26.723,26.856,26.953,27.021,27.078,27.122,27.156,27.185,NPgN
