Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,404,460,576,854,1234,1674,1908,2044,2179,2315,2451,2585,2724,2928,3715,4552,5368,6144,6791,7343,7842,8550,9360,10173,10984,11795,12604,13411,14026,NPgN,Primary,NPg Best View,Number of heat pumps (total)
AMBERTON ROAD,296,354,477,726,1049,1416,1602,1702,1800,1898,1997,2094,2195,2364,3047,3755,4442,5080,5614,6077,6501,7110,7806,8505,9204,9901,10597,11291,11826,NPgN,Primary,NPg Best View,Number of heat pumps (total)
ANNFIELD 66/20KV,187,257,363,580,878,1237,1416,1526,1636,1748,1860,1972,2089,2299,3050,3805,4537,5245,5863,6403,6888,7556,8294,9034,9773,10512,11249,11985,12553,NPgN,Primary,NPg Best View,Number of heat pumps (total)
ASHINGTON,248,291,378,586,880,1231,1402,1505,1608,1712,1816,1918,2026,2229,3043,3881,4707,5507,6214,6840,7415,8170,8996,9824,10651,11477,12301,13124,13756,NPgN,Primary,NPg Best View,Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NPgN,Primary,NPg Best View,Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,96,122,172,269,400,555,633,682,732,782,831,880,931,1015,1320,1629,1929,2213,2459,2673,2866,3137,3437,3738,4039,4339,4639,4938,5169,NPgN,Primary,NPg Best View,Number of heat pumps (total)
BARDEN FRIAR,3,4,5,6,9,13,14,15,17,18,19,20,21,26,51,75,100,124,148,171,193,217,242,267,292,317,343,368,390,NPgN,Primary,NPg Best View,Number of heat pumps (total)
BEDALE,138,158,197,287,411,561,641,685,729,773,817,862,907,981,1282,1599,1909,2205,2457,2678,2878,3148,3456,3765,4075,4385,4695,5006,5254,NPgN,Primary,NPg Best View,Number of heat pumps (total)
BELMONT,202,247,325,492,718,991,1141,1231,1320,1409,1500,1589,1682,1827,2347,2884,3406,3903,4328,4696,5023,5474,5988,6503,7018,7533,8047,8559,8958,NPgN,Primary,NPg Best View,Number of heat pumps (total)
BENSHAM,129,163,218,342,517,729,831,891,949,1009,1069,1128,1190,1322,1803,2293,2770,3231,3635,3990,4311,4741,5216,5692,6167,6642,7115,7588,7949,NPgN,Primary,NPg Best View,Number of heat pumps (total)
BENTON SQUARE,129,160,219,345,519,726,833,903,973,1044,1115,1185,1259,1426,2074,2733,3383,4018,4603,5144,5656,6269,6921,7575,8228,8882,9534,10186,10686,NPgN,Primary,NPg Best View,Number of heat pumps (total)
BENWELL,144,197,284,454,678,941,1091,1200,1310,1421,1533,1642,1757,1936,2583,3234,3875,4497,5063,5580,6064,6663,7306,7951,8595,9238,9880,10521,11015,NPgN,Primary,NPg Best View,Number of heat pumps (total)
